epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,test_roc-auc,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc-auc,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,,,,,,,1.4056169986724854,,,,,,,,,
0,99,,,,,,,,,1.2804349660873413,,,,,,,,,
0,149,,,,,,,,,0.9852239489555359,,,,,,,,,
0,199,,,,,,,,,1.129799485206604,,,,,,,,,
0,249,,,,,,,,,0.8798427581787109,,,,,,,,,
0,299,,,,,,,,,0.9507269263267517,,,,,,,,,
0,349,,,,,,,,,0.7404375672340393,,,,,,,,,
0,399,,,,,,,,,0.954746425151825,,,,,,,,,
0,449,,,,,,,,,0.8763226866722107,,,,,,,,,
0,499,,,,,,,,,0.5490943789482117,,,,,,,,,
0,507,,,,,,,,,,,,,0.482082337141037,0.46313273906707764,0.918511152267456,0.49068933725357056,0.482082337141037,0.6992892622947693
0,507,,,,,,,0.4758540689945221,0.41693732142448425,,0.438926637172699,0.4758540689945221,0.713211715221405,,,,,,
1,549,,,,,,,,,1.148740291595459,,,,,,,,,
1,599,,,,,,,,,0.7459588646888733,,,,,,,,,
1,649,,,,,,,,,0.8004407286643982,,,,,,,,,
1,699,,,,,,,,,0.9864100217819214,,,,,,,,,
1,749,,,,,,,,,0.9459182024002075,,,,,,,,,
1,799,,,,,,,,,0.7061963677406311,,,,,,,,,
1,849,,,,,,,,,0.886654794216156,,,,,,,,,
1,899,,,,,,,,,0.817171573638916,,,,,,,,,
1,949,,,,,,,,,1.115429401397705,,,,,,,,,
1,999,,,,,,,,,0.9583805203437805,,,,,,,,,
1,1015,,,,,,,,,,,,,0.4989222288131714,0.44715237617492676,0.8762073516845703,0.4654424786567688,0.4989222288131714,0.7161798477172852
1,1015,,,,,,,0.5422921776771545,0.5113644003868103,,0.5474209785461426,0.5422921776771545,0.7743467688560486,,,,,,
2,1049,,,,,,,,,0.735455334186554,,,,,,,,,
2,1099,,,,,,,,,0.9030319452285767,,,,,,,,,
2,1149,,,,,,,,,0.6310088634490967,,,,,,,,,
2,1199,,,,,,,,,0.8535898327827454,,,,,,,,,
2,1249,,,,,,,,,0.6355866193771362,,,,,,,,,
2,1299,,,,,,,,,0.9084564447402954,,,,,,,,,
2,1349,,,,,,,,,0.7200986742973328,,,,,,,,,
2,1399,,,,,,,,,1.1312344074249268,,,,,,,,,
2,1449,,,,,,,,,0.6664074659347534,,,,,,,,,
2,1499,,,,,,,,,0.6933884024620056,,,,,,,,,
2,1523,,,,,,,,,,,,,0.5088180303573608,0.4564445912837982,0.9819038510322571,0.49446234107017517,0.5088180303573608,0.7093832492828369
2,1523,,,,,,,0.5620306730270386,0.5379486680030823,,0.5859913229942322,0.5620306730270386,0.7853811979293823,,,,,,
3,1524,0.4999673366546631,0.4763230085372925,0.8769903779029846,0.5150502324104309,0.4999673366546631,0.7225512266159058,,,,,,,,,,,,
