epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,test_roc-auc,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,train_roc-auc_epoch,train_roc-auc_step,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,,,,,,0.3641025722026825,,0.3030303120613098,1.1094481945037842,,0.2611111104488373,,0.3641025722026825,,0.570778489112854,,,,,,
0,99,,,,,,,,0.3333333432674408,,0.21276594698429108,1.118327260017395,,0.15625,,0.3333333432674408,,0.5324044227600098,,,,,,
0,149,,,,,,,,0.36666667461395264,,0.26833632588386536,1.1040289402008057,,0.27203065156936646,,0.36666667461395264,,0.6125872135162354,,,,,,
0,199,,,,,,,,0.4215686321258545,,0.3499999940395355,1.002957820892334,,0.2995169162750244,,0.4215686321258545,,0.6341323256492615,,,,,,
0,249,,,,,,,,0.350649356842041,,0.2450980544090271,1.1417741775512695,,0.3371647596359253,,0.350649356842041,,0.5010485649108887,,,,,,
0,299,,,,,,,,0.4444444477558136,,0.3757575750350952,0.9943475723266602,,0.3571428656578064,,0.4444444477558136,,0.7129206657409668,,,,,,
0,349,,,,,,,,0.4629629850387573,,0.40909093618392944,0.9342892169952393,,0.3717948794364929,,0.4629629850387573,,0.6333117485046387,,,,,,
0,399,,,,,,,,0.5416666865348816,,0.4920635223388672,0.8655409216880798,,0.4829059839248657,,0.5416666865348816,,0.7877604365348816,,,,,,
0,449,,,,,,,,0.37222224473953247,,0.30891332030296326,0.9860695600509644,,0.2938271760940552,,0.37222224473953247,,0.7286922335624695,,,,,,
0,499,,,,,,,,0.5079365372657776,,0.4550264775753021,0.9128102660179138,,0.4213564395904541,,0.5079365372657776,,0.6759740114212036,,,,,,
0,507,,,,,,,,,,,,,,,,,,0.37314125895500183,0.272180438041687,1.0486562252044678,0.23755088448524475,0.37314125895500183,0.5460081696510315
0,507,,,,,,,0.4117269217967987,,0.3534177839756012,,,0.3630084693431854,,0.4117269217967987,,0.6156580448150635,,,,,,,
1,549,,,,,,,,0.46474361419677734,,0.366568922996521,1.0440269708633423,,0.30423280596733093,,0.46474361419677734,,0.7020243406295776,,,,,,
1,599,,,,,,,,0.4861111044883728,,0.45773524045944214,0.9101266264915466,,0.44545453786849976,,0.4861111044883728,,0.6407489776611328,,,,,,
1,649,,,,,,,,0.5111111402511597,,0.4407407343387604,0.949294924736023,,0.3881673812866211,,0.5111111402511597,,0.7246391773223877,,,,,,
1,699,,,,,,,,0.5095238089561462,,0.4502924084663391,0.970270037651062,,0.4305555820465088,,0.5095238089561462,,0.6772111654281616,,,,,,
1,749,,,,,,,,0.5819964408874512,,0.5973389148712158,0.91262286901474,,0.6618357300758362,,0.5819964408874512,,0.7075958251953125,,,,,,
1,799,,,,,,,,0.42222222685813904,,0.34385964274406433,1.0531615018844604,,0.30000001192092896,,0.42222222685813904,,0.6260486841201782,,,,,,
1,849,,,,,,,,0.4523809552192688,,0.41056913137435913,0.890195369720459,,0.4700854420661926,,0.4523809552192688,,0.823230504989624,,,,,,
1,899,,,,,,,,0.5303030014038086,,0.4741019308567047,0.9565238356590271,,0.7043651342391968,,0.5303030014038086,,0.7335786819458008,,,,,,
1,949,,,,,,,,0.4095238447189331,,0.37306201457977295,0.9358832240104675,,0.34299516677856445,,0.4095238447189331,,0.6044092178344727,,,,,,
1,999,,,,,,,,0.3214285671710968,,0.2754386067390442,1.134432077407837,,0.2638888955116272,,0.3214285671710968,,0.5348443984985352,,,,,,
