epoch,step,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc-auc,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,1.339552640914917,,,,,,,,,
0,99,,,0.8783972859382629,,,,,,,,,
0,149,,,1.886483073234558,,,,,,,,,
0,199,,,1.1468005180358887,,,,,,,,,
0,249,,,0.908845067024231,,,,,,,,,
0,299,,,0.7901763319969177,,,,,,,,,
0,349,,,0.9059327840805054,,,,,,,,,
0,399,,,1.0060184001922607,,,,,,,,,
0,449,,,1.016028881072998,,,,,,,,,
0,499,,,0.8640550374984741,,,,,,,,,
0,507,,,,,,,0.5117074847221375,0.4647662043571472,0.9536061882972717,0.5021214485168457,0.5117074847221375,0.7094264626502991
0,507,0.4622059166431427,0.38789811730384827,,0.4086616039276123,0.4622059166431427,0.718556821346283,,,,,,
1,549,,,1.0251563787460327,,,,,,,,,
1,599,,,0.9609946608543396,,,,,,,,,
1,649,,,0.7260502576828003,,,,,,,,,
1,699,,,0.911464512348175,,,,,,,,,
1,749,,,0.7171360850334167,,,,,,,,,
1,799,,,0.878980815410614,,,,,,,,,
1,849,,,0.9978383779525757,,,,,,,,,
1,899,,,1.181305170059204,,,,,,,,,
1,949,,,1.0268982648849487,,,,,,,,,
1,999,,,1.1325229406356812,,,,,,,,,
1,1015,,,,,,,0.4682284891605377,0.40968117117881775,0.9072674512863159,0.4288078546524048,0.4682284891605377,0.727760910987854
1,1015,0.5324426889419556,0.48933714628219604,,0.5224137902259827,0.5324426889419556,0.7763069868087769,,,,,,
2,1049,,,0.8044375777244568,,,,,,,,,
2,1099,,,0.786461591720581,,,,,,,,,
2,1149,,,0.9410780668258667,,,,,,,,,
