epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,test_roc-auc,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc-auc,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,,,,,,,1.0616685152053833,,,,,,,,,
0,99,,,,,,,,,0.7943422198295593,,,,,,,,,
0,149,,,,,,,,,0.913131594657898,,,,,,,,,
0,199,,,,,,,,,1.0811831951141357,,,,,,,,,
0,249,,,,,,,,,0.7216762900352478,,,,,,,,,
0,299,,,,,,,,,0.771297812461853,,,,,,,,,
0,349,,,,,,,,,0.826367974281311,,,,,,,,,
0,399,,,,,,,,,0.9555351138114929,,,,,,,,,
0,449,,,,,,,,,1.0149898529052734,,,,,,,,,
0,499,,,,,,,,,0.9065786004066467,,,,,,,,,
0,507,,,,,,,,,,,,,0.49095672369003296,0.42157313227653503,0.8757612109184265,0.4295600652694702,0.49095672369003296,0.7237634062767029
0,507,,,,,,,0.528469979763031,0.4902085065841675,,0.5184245705604553,0.528469979763031,0.7661101222038269,,,,,,
1,549,,,,,,,,,0.7284588813781738,,,,,,,,,
1,599,,,,,,,,,0.8735176920890808,,,,,,,,,
1,649,,,,,,,,,0.7438279390335083,,,,,,,,,
1,699,,,,,,,,,0.572296679019928,,,,,,,,,
1,749,,,,,,,,,0.7714474201202393,,,,,,,,,
1,799,,,,,,,,,1.040306806564331,,,,,,,,,
1,849,,,,,,,,,0.8004122376441956,,,,,,,,,
1,899,,,,,,,,,0.8425236344337463,,,,,,,,,
1,949,,,,,,,,,0.8442386388778687,,,,,,,,,
1,999,,,,,,,,,0.8598230481147766,,,,,,,,,
1,1015,,,,,,,,,,,,,0.4808705747127533,0.42919206619262695,0.8540891408920288,0.47360357642173767,0.4808705747127533,0.7302873730659485
1,1015,,,,,,,0.565419614315033,0.5404070615768433,,0.580534040927887,0.565419614315033,0.7942355871200562,,,,,,
2,1049,,,,,,,,,0.8826943039894104,,,,,,,,,
2,1099,,,,,,,,,0.8451178669929504,,,,,,,,,
2,1149,,,,,,,,,0.7206971645355225,,,,,,,,,
2,1199,,,,,,,,,0.5831996202468872,,,,,,,,,
2,1249,,,,,,,,,0.9385368227958679,,,,,,,,,
2,1299,,,,,,,,,1.0011351108551025,,,,,,,,,
2,1349,,,,,,,,,0.690610408782959,,,,,,,,,
2,1399,,,,,,,,,0.8144546151161194,,,,,,,,,
2,1449,,,,,,,,,0.8148787021636963,,,,,,,,,
2,1499,,,,,,,,,0.9092370271682739,,,,,,,,,
2,1523,,,,,,,,,,,,,0.46531397104263306,0.4342854619026184,0.8662259578704834,0.5061740875244141,0.46531397104263306,0.7288352847099304
2,1523,,,,,,,0.5662087798118591,0.5450499653816223,,0.588778018951416,0.5662087798118591,0.7972379922866821,,,,,,
3,1524,0.46816039085388184,0.4351685047149658,0.843936026096344,0.5028818845748901,0.46816039085388184,0.7480117082595825,,,,,,,,,,,,
