epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,test_roc-auc,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc-auc,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,,,,,,,1.097029209136963,,,,,,,,,
0,99,,,,,,,,,0.8205108642578125,,,,,,,,,
0,149,,,,,,,,,1.1902562379837036,,,,,,,,,
0,199,,,,,,,,,1.162941813468933,,,,,,,,,
0,249,,,,,,,,,0.9751017093658447,,,,,,,,,
0,299,,,,,,,,,1.3306810855865479,,,,,,,,,
0,349,,,,,,,,,0.7779330015182495,,,,,,,,,
0,399,,,,,,,,,0.8101754784584045,,,,,,,,,
0,449,,,,,,,,,0.7897265553474426,,,,,,,,,
0,499,,,,,,,,,1.008939504623413,,,,,,,,,
0,507,,,,,,,,,,,,,0.4609237015247345,0.4178680181503296,0.8944860100746155,0.4648984670639038,0.4609237015247345,0.7146716117858887
0,507,,,,,,,0.4921119809150696,0.4421630799770355,,0.47461724281311035,0.4921119809150696,0.7242820858955383,,,,,,
1,549,,,,,,,,,1.2180079221725464,,,,,,,,,
1,599,,,,,,,,,1.0030436515808105,,,,,,,,,
1,649,,,,,,,,,1.086418867111206,,,,,,,,,
1,699,,,,,,,,,0.9206370711326599,,,,,,,,,
1,749,,,,,,,,,0.6684048175811768,,,,,,,,,
1,799,,,,,,,,,0.7477497458457947,,,,,,,,,
1,849,,,,,,,,,0.7047906517982483,,,,,,,,,
1,899,,,,,,,,,0.8084887266159058,,,,,,,,,
1,949,,,,,,,,,0.7447167038917542,,,,,,,,,
1,999,,,,,,,,,0.8702472448348999,,,,,,,,,
1,1015,,,,,,,,,,,,,0.5186991691589355,0.4843001961708069,0.8826958537101746,0.5190718770027161,0.5186991691589355,0.7228758335113525
1,1015,,,,,,,0.5362350344657898,0.49658480286598206,,0.5261586308479309,0.5362350344657898,0.7655675411224365,,,,,,
2,1049,,,,,,,,,0.8808775544166565,,,,,,,,,
2,1099,,,,,,,,,0.9055641293525696,,,,,,,,,
2,1149,,,,,,,,,0.9705331325531006,,,,,,,,,
2,1199,,,,,,,,,0.8483970761299133,,,,,,,,,
2,1249,,,,,,,,,0.7846971750259399,,,,,,,,,
2,1299,,,,,,,,,0.8636140823364258,,,,,,,,,
2,1349,,,,,,,,,0.8935240507125854,,,,,,,,,
2,1399,,,,,,,,,0.8530005216598511,,,,,,,,,
2,1449,,,,,,,,,0.8775224089622498,,,,,,,,,
2,1499,,,,,,,,,0.7239600419998169,,,,,,,,,
2,1523,,,,,,,,,,,,,0.44496652483940125,0.37729737162590027,0.9212040901184082,0.3668198883533478,0.44496652483940125,0.6998408436775208
2,1523,,,,,,,0.5547141432762146,0.5261054635047913,,0.5661299228668213,0.5547141432762146,0.7842056155204773,,,,,,
3,1549,,,,,,,,,1.0233869552612305,,,,,,,,,
3,1599,,,,,,,,,0.6417623162269592,,,,,,,,,
3,1649,,,,,,,,,0.7142449021339417,,,,,,,,,
3,1699,,,,,,,,,0.7853267192840576,,,,,,,,,
3,1749,,,,,,,,,0.849941611289978,,,,,,,,,
3,1799,,,,,,,,,0.6779971718788147,,,,,,,,,
3,1849,,,,,,,,,1.2267400026321411,,,,,,,,,
3,1899,,,,,,,,,0.6441133618354797,,,,,,,,,
3,1949,,,,,,,,,0.7729339003562927,,,,,,,,,
3,1999,,,,,,,,,0.8174389600753784,,,,,,,,,
3,2031,,,,,,,,,,,,,0.4649675190448761,0.43120327591896057,0.9092727899551392,0.5001734495162964,0.4649675190448761,0.7161534428596497
3,2031,,,,,,,0.570766031742096,0.5432699918746948,,0.5863599181175232,0.570766031742096,0.796607494354248,,,,,,
4,2032,0.5136163830757141,0.4825079143047333,0.8633764386177063,0.5152788758277893,0.5136163830757141,0.7325815558433533,,,,,,,,,,,,
