feature_idx,feature_name,mean_phrase_accuracy,mean_phrase_balanced_accuracy,num_classes
13,distr,0.9481418643392817,0.8387907458005757,2
4,delrel,0.9384327902272344,0.814489117685007,2
6,nas,0.9056996119320393,0.800294469924178,2
5,lat,0.9546813804656267,0.7943888895683922,2
8,voi,0.8197044837921857,0.7940981065058149,2
7,strid,0.8500165288224817,0.7890757509397809,2
11,ant,0.8392175280643468,0.7864811958791922,2
1,son,0.7876298867762089,0.7845586179774254,2
18,round,0.923907560929656,0.7775269005913288,2
3,cont,0.7845917177125812,0.7755339822527021,2
12,cor,0.7767198289632797,0.7697465733978898,2
14,lab,0.8540608350373805,0.7693750224086688,2
16,lo,0.9256577785387635,0.7635409414246679,2
2,cons,0.7754792812615633,0.7616123210974037,2
0,syl,0.7697943791300058,0.7525485675111413,2
17,back,0.7737717729881406,0.7441170017709956,2
15,hi,0.7381794922985137,0.7298386627836153,2
