feature_idx,feature_name,mean_phrase_accuracy,mean_phrase_balanced_accuracy,num_classes
6,nas,0.9066096414774656,0.7982446457308251,2
5,lat,0.9573062613606453,0.7959270960520953,2
8,voi,0.8159192523062229,0.7941093040099367,2
7,strid,0.8564315764904022,0.7885591557179578,2
1,son,0.7849458266720176,0.7831863042674959,2
3,cont,0.7825773446038365,0.7763572933375835,2
18,round,0.9227291956990957,0.7747237912283744,2
14,lab,0.8462010872028768,0.7720364803026896,2
12,cor,0.7803635939061642,0.769789304882288,2
2,cons,0.7751477039307356,0.76134032048285,2
0,syl,0.7703240056335926,0.753021452780813,2
17,back,0.7766733810603619,0.7460890049412846,2
4,delrel,0.9069172677844762,0.7331882430571134,3
13,distr,0.7677843318432569,0.7140909171320191,3
16,lo,0.8958255376368761,0.6964674585913305,3
11,ant,0.7080985775664449,0.6817670646084781,3
15,hi,0.727394887149334,0.6745459895517364,3
