syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,all_variants,selected
+,+,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,l̪̩,l̪̩
+,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,l̩,l̩
+,+,+,+,-,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ɦ̩,ɦ̩
+,+,+,+,-,-,-,-,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,h̩,h̩
+,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,ɫ̩,ɫ̩
+,+,+,+,0,+,-,-,+,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,ɺ̩,ɺ̩
+,+,+,+,0,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,ʎ̩,ʎ̩
+,+,+,+,0,+,-,-,+,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɭ̩,ɭ̩
+,+,+,+,0,+,-,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,ʟ̩,ʟ̩
+,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,0,-,-,-,0,-,0,0,r̪̩,r̪̩
+,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,-,-,-,0,-,0,0,"r̩, ɾ̩",r̩
+,+,+,+,0,-,-,-,+,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ʙ̩,ʙ̩
+,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,-,-,-,0,-,0,0,ɽ̩,ɽ̩
+,+,+,+,0,-,-,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ʀ̩,ʀ̩
+,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,n̪̩,n̪̩
+,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,n̩,n̩
+,+,+,-,-,-,+,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0,m̩,m̩
+,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,-,0,-,0,0,ɳ̩,ɳ̩
+,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,ŋ̩,ŋ̩
+,+,+,-,-,-,+,-,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0,ɲ̩,ɲ̩
+,+,+,-,-,-,+,-,+,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,ɴ̩,ɴ̩
+,+,+,-,0,-,+,-,+,-,-,+,-,0,+,0,0,-,-,-,0,-,0,0,ɱ̩,ɱ̩
+,+,-,+,-,-,+,-,+,-,+,0,-,0,+,+,-,+,+,-,+,-,0,0,ṵ̃,ṵ̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,+,+,-,-,+,-,+,-,0,0,ỹ̰,ỹ̰
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,+,+,-,-,-,0,0,ʊ̰̃,ʊ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,+,-,-,+,-,0,0,ɨ̰̃,ɨ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,+,-,-,-,-,0,0,ɯ̰̃,ɯ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,-,+,-,-,-,0,0,ʏ̰̃,ʏ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,-,-,-,+,-,0,0,ḭ̃,ḭ̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,+,-,-,-,-,-,-,0,0,ɪ̰̃,ɪ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,+,+,-,+,-,0,0,ɒ̰̃,ɒ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,+,-,-,+,-,0,0,ã̰,ã̰
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,-,+,-,+,-,0,0,ɶ̰̃,ɶ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,+,-,-,-,+,-,0,0,æ̰̃,æ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,+,+,-,+,-,0,0,õ̰,õ̰
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,+,+,-,-,-,0,0,ɔ̰̃,ɔ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,+,-,-,+,-,0,0,ʌ̰̃,ʌ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,+,-,-,-,-,0,0,"ə̰̃, ɜ̰̃",ə̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,-,+,-,+,-,0,0,ø̰̃,ø̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,-,+,-,-,-,0,0,œ̰̃,œ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,-,-,-,+,-,0,0,"ḛ̃, ɐ̰̃",ɐ̰̃
+,+,-,+,-,-,+,-,+,-,+,0,-,0,-,-,-,-,-,-,-,-,0,0,ɛ̰̃,ɛ̰̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,+,+,+,+,+,-,+,-,0,0,ũˤ,ũˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,+,+,+,-,+,-,+,-,0,0,ỹˤ,ỹˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,+,+,-,+,+,-,+,+,0,0,ũː,ũː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,+,+,-,+,+,-,+,-,0,0,ũ,ũ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,+,+,-,-,+,-,+,+,0,0,ỹː,ỹː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,+,+,-,-,+,-,+,-,0,0,ỹ,ỹ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,+,+,+,-,-,-,0,0,ʊ̃ˤ,ʊ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,+,+,-,-,+,-,0,0,ɨ̃ˤ,ɨ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,+,+,-,-,-,-,0,0,ɯ̃ˤ,ɯ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,+,-,+,-,-,-,0,0,ʏ̃ˤ,ʏ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,+,-,-,-,+,-,0,0,ĩˤ,ĩˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,+,-,-,-,-,-,0,0,ɪ̃ˤ,ɪ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,+,+,-,-,+,0,0,ʊ̃ː,ʊ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,+,+,-,-,-,0,0,ʊ̃,ʊ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,+,-,-,+,+,0,0,ɨ̃ː,ɨ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,+,-,-,+,-,0,0,ɨ̃,ɨ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,+,-,-,-,+,0,0,ɯ̃ː,ɯ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,+,-,-,-,-,0,0,ɯ̃,ɯ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,-,+,-,-,+,0,0,ʏ̃ː,ʏ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,-,+,-,-,-,0,0,ʏ̃,ʏ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,-,-,-,+,+,0,0,ĩː,ĩː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,-,-,-,+,-,0,0,ĩ,ĩ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,-,-,-,-,+,0,0,ɪ̃ː,ɪ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,+,-,-,-,-,-,-,0,0,ɪ̃,ɪ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,+,+,-,+,+,0,0,ɒ̃ː,ɒ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,+,+,-,+,-,0,0,"õˤ, ɒ̃ˤ, ɒ̃",ɒ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,+,+,-,-,-,0,0,ɔ̃ˤ,ɔ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,+,-,-,+,+,0,0,ãː,ãː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,+,-,-,+,-,0,0,"ã, ãˤ, ʌ̃ˤ",ã
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,+,-,-,-,-,0,0,"ə̃ˤ, ɜ̃ˤ",ə̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,-,+,-,+,+,0,0,ɶ̃ː,ɶ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,-,+,-,+,-,0,0,"ɶ̃, ø̃ˤ, ɶ̃ˤ",ɶ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,-,+,-,-,-,0,0,œ̃ˤ,œ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,-,-,-,+,+,0,0,æ̃ː,æ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,-,-,-,+,-,0,0,"æ̃, ɐ̃ˤ, ẽˤ, æ̃ˤ",æ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,+,-,-,-,-,-,0,0,ɛ̃ˤ,ɛ̃ˤ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,+,-,+,+,0,0,õː,õː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,+,-,+,-,0,0,õ,õ
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,+,-,-,+,0,0,ɔ̃ː,ɔ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,+,-,-,-,0,0,ɔ̃,ɔ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,-,-,+,+,0,0,ʌ̃ː,ʌ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,-,-,+,-,0,0,ʌ̃,ʌ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,-,-,-,+,0,0,"ə̃ː, ɜ̃ː",ə̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,+,-,-,-,-,0,0,"ə̃, ɜ̃",ə̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,+,-,+,+,0,0,ø̃ː,ø̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,+,-,+,-,0,0,ø̃,ø̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,+,-,-,+,0,0,œ̃ː,œ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,+,-,-,-,0,0,œ̃,œ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,-,-,+,+,0,0,"ẽː, ɐ̃ː",ɐ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,-,-,+,-,0,0,"ẽ, ɐ̃",ɐ̃
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,-,-,-,+,0,0,ɛ̃ː,ɛ̃ː
+,+,-,+,-,-,+,-,+,-,-,0,-,0,-,-,-,-,-,-,-,-,0,0,ɛ̃,ɛ̃
+,+,-,+,-,-,-,-,+,+,-,0,-,0,+,+,+,+,+,-,+,-,0,0,ṳˤ,ṳˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,+,+,+,-,+,-,+,-,0,0,y̤ˤ,y̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,+,+,-,+,+,-,+,+,0,0,ṳː,ṳː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,+,+,-,+,+,-,+,-,0,0,ṳ,ṳ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,+,+,-,-,+,-,+,+,0,0,y̤ː,y̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,+,+,-,-,+,-,+,-,0,0,"y̤, y̤ˠ",y̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,+,+,-,+,-,0,0,ɒ̤ˠ,ɒ̤ˠ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,+,+,-,-,-,0,0,ʊ̤ˤ,ʊ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,+,-,-,+,-,0,0,"a̤ˠ, ɨ̤ˤ",ɨ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,+,-,-,-,-,0,0,ɯ̤ˤ,ɯ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,-,+,-,+,-,0,0,ɶ̤ˠ,ɶ̤ˠ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,-,+,-,-,-,0,0,ʏ̤ˤ,ʏ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,-,-,-,+,-,0,0,"æ̤ˠ, i̤ˤ",i̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,+,-,-,-,-,-,0,0,ɪ̤ˤ,ɪ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,+,-,+,-,0,0,o̤ˠ,o̤ˠ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,+,-,-,+,0,0,ʊ̤ː,ʊ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,+,-,-,-,0,0,"ʊ̤, ɔ̤ˠ",ʊ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,-,-,+,+,0,0,ɨ̤ː,ɨ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,-,-,+,-,0,0,"ɨ̤, ʌ̤ˠ",ɨ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,-,-,-,+,0,0,ɯ̤ː,ɯ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,+,-,-,-,-,0,0,"ɯ̤, ə̤ˠ, ɜ̤ˠ",ɯ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,+,-,+,-,0,0,ø̤ˠ,ø̤ˠ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,+,-,-,+,0,0,ʏ̤ː,ʏ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,+,-,-,-,0,0,"ʏ̤, œ̤ˠ, ʏ̤ˠ",ʏ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,-,-,+,+,0,0,i̤ː,i̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,-,-,+,-,0,0,"i̤, e̤ˠ, i̤ˠ, ɐ̤ˠ",i̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,-,-,-,+,0,0,ɪ̤ː,ɪ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,+,-,-,-,-,-,-,0,0,"ɪ̤, ɪ̤ˠ, ɛ̤ˠ",ɪ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,+,+,-,+,+,0,0,ɒ̤ː,ɒ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,+,+,-,+,-,0,0,"ɒ̤, o̤ˤ, ɒ̤ˤ",ɒ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,+,+,-,-,-,0,0,ɔ̤ˤ,ɔ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,+,-,-,+,+,0,0,a̤ː,a̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,+,-,-,+,-,0,0,"a̤, a̤ˤ, ʌ̤ˤ",a̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,+,-,-,-,-,0,0,"ə̤ˤ, ɜ̤ˤ",ə̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,-,+,-,+,+,0,0,ɶ̤ː,ɶ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,-,+,-,+,-,0,0,"ɶ̤, ø̤ˤ, ɶ̤ˤ",ɶ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,-,+,-,-,-,0,0,œ̤ˤ,œ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,-,-,-,+,+,0,0,æ̤ː,æ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,-,-,-,+,-,0,0,"æ̤, æ̤ˤ, e̤ˤ, ɐ̤ˤ",æ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,+,-,-,-,-,-,0,0,ɛ̤ˤ,ɛ̤ˤ
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,+,-,+,+,0,0,o̤ː,o̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,+,-,+,-,0,0,o̤,o̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,+,-,-,+,0,0,ɔ̤ː,ɔ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,+,-,-,-,0,0,ɔ̤,ɔ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,-,-,+,+,0,0,ʌ̤ː,ʌ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,-,-,+,-,0,0,ʌ̤,ʌ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,-,-,-,+,0,0,"ə̤ː, ɜ̤ː",ə̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,+,-,-,-,-,0,0,"ə̤, ɜ̤",ə̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,+,-,+,+,0,0,ø̤ː,ø̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,+,-,+,-,0,0,ø̤,ø̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,+,-,-,+,0,0,œ̤ː,œ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,+,-,-,-,0,0,œ̤,œ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,-,-,+,+,0,0,"e̤ː, ɐ̤ː",ɐ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,-,-,+,-,0,0,"e̤, ɐ̤",ɐ̤
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,-,-,-,+,0,0,ɛ̤ː,ɛ̤ː
+,+,-,+,-,-,-,-,+,+,-,0,-,0,-,-,-,-,-,-,-,-,0,0,ɛ̤,ɛ̤
+,+,-,+,-,-,-,-,+,-,+,0,-,0,+,+,+,+,+,-,+,-,0,0,ṵˤ,ṵˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,+,+,+,-,+,-,+,-,0,0,y̰ˤ,y̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,+,+,-,+,+,-,+,+,0,0,ṵː,ṵː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,+,+,-,+,+,-,+,-,0,0,"ṵ, uˀ, ˀu",ṵ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,+,+,-,-,+,-,+,+,0,0,y̰ː,y̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,+,+,-,-,+,-,+,-,0,0,"y̰, yˀ, ˀy, y̰ˠ",y̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,+,+,-,+,-,0,0,ɒ̰ˠ,ɒ̰ˠ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,+,+,-,-,-,0,0,ʊ̰ˤ,ʊ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,+,-,-,+,-,0,0,"a̰ˠ, ɨ̰ˤ",ɨ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,+,-,-,-,-,0,0,ɯ̰ˤ,ɯ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,-,+,-,+,-,0,0,ɶ̰ˠ,ɶ̰ˠ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,-,+,-,-,-,0,0,ʏ̰ˤ,ʏ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,-,-,-,+,-,0,0,"æ̰ˠ, ḭˤ",ḭˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,+,-,-,-,-,-,0,0,ɪ̰ˤ,ɪ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,+,-,+,-,0,0,o̰ˠ,o̰ˠ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,+,-,-,+,0,0,ʊ̰ː,ʊ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,+,-,-,-,0,0,"ɔ̰ˠ, ʊ̰, ʊˀ, ˀʊ",ʊ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,-,-,+,+,0,0,ɨ̰ː,ɨ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,-,-,+,-,0,0,"ʌ̰ˠ, ɨ̰, ɨˀ, ˀɨ",ɨ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,-,-,-,+,0,0,ɯ̰ː,ɯ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,+,-,-,-,-,0,0,"ə̰ˠ, ɯ̰, ɯˀ, ˀɯ, ɜ̰ˠ",ɯ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,+,-,+,-,0,0,ø̰ˠ,ø̰ˠ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,+,-,-,+,0,0,ʏ̰ː,ʏ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,+,-,-,-,0,0,"ʏ̰, ʏˀ, ˀʏ, œ̰ˠ, ʏ̰ˠ",ʏ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,-,-,+,+,0,0,ḭː,ḭː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,-,-,+,-,0,0,"ḭ, iˀ, ˀi, ḛˠ, ḭˠ, ɐ̰ˠ",ḭ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,-,-,-,+,0,0,ɪ̰ː,ɪ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,+,-,-,-,-,-,-,0,0,"ɪ̰, ɪˀ, ˀɪ, ɪ̰ˠ, ɛ̰ˠ",ɪ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,+,+,-,+,+,0,0,ɒ̰ː,ɒ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,+,+,-,+,-,0,0,"o̰ˤ, ɒ̰ˤ, ɒ̰, ɒˀ, ˀɒ",ɒ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,+,+,-,-,-,0,0,ɔ̰ˤ,ɔ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,+,-,-,+,+,0,0,a̰ː,a̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,+,-,-,+,-,0,0,"a̰, aˀ, ˀa, a̰ˤ, ʌ̰ˤ",a̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,+,-,-,-,-,0,0,"ə̰ˤ, ɜ̰ˤ",ə̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,-,+,-,+,+,0,0,ɶ̰ː,ɶ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,-,+,-,+,-,0,0,"ɶ̰, ɶˀ, ˀɶ, ø̰ˤ, ɶ̰ˤ",ɶ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,-,+,-,-,-,0,0,œ̰ˤ,œ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,-,-,-,+,+,0,0,æ̰ː,æ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,-,-,-,+,-,0,0,"æ̰, æˀ, ˀæ, ḛˤ, æ̰ˤ, ɐ̰ˤ",æ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,+,-,-,-,-,-,0,0,ɛ̰ˤ,ɛ̰ˤ
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,+,-,+,+,0,0,o̰ː,o̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,+,-,+,-,0,0,"o̰, oˀ, ˀo",o̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,+,-,-,+,0,0,ɔ̰ː,ɔ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,+,-,-,-,0,0,"ɔ̰, ɔˀ, ˀɔ",ɔ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,-,-,+,+,0,0,ʌ̰ː,ʌ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,-,-,+,-,0,0,"ʌ̰, ʌˀ, ˀʌ",ʌ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,-,-,-,+,0,0,"ə̰ː, ɜ̰ː",ə̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,+,-,-,-,-,0,0,"ə̰, əˀ, ˀə, ɜ̰, ɜˀ, ˀɜ",ə̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,+,-,+,+,0,0,ø̰ː,ø̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,+,-,+,-,0,0,"ø̰, øˀ, ˀø",ø̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,+,-,-,+,0,0,œ̰ː,œ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,+,-,-,-,0,0,"œ̰, œˀ, ˀœ",œ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,-,-,+,+,0,0,"ḛː, ɐ̰ː",ɐ̰ː
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,-,-,+,-,0,0,"ḛ, eˀ, ˀe, ɐ̰, ɐˀ, ˀɐ",ɐ̰
+,+,-,+,-,-,-,-,+,-,+,0,-,0,-,-,-,-,-,-,-,+,0,0,ɛ̰ː,ɛ̰ː
