epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,test_roc-auc,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc-auc,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,,,,,,,1.0530309677124023,,,,,,,,,
0,99,,,,,,,,,1.0820955038070679,,,,,,,,,
0,149,,,,,,,,,1.0788697004318237,,,,,,,,,
0,199,,,,,,,,,0.9080352187156677,,,,,,,,,
0,249,,,,,,,,,1.162318468093872,,,,,,,,,
0,299,,,,,,,,,0.9679743051528931,,,,,,,,,
0,349,,,,,,,,,0.8760841488838196,,,,,,,,,
0,399,,,,,,,,,0.8963635563850403,,,,,,,,,
0,449,,,,,,,,,1.045809268951416,,,,,,,,,
0,499,,,,,,,,,0.9412404298782349,,,,,,,,,
0,507,,,,,,,,,,,,,0.3489432632923126,0.2577901780605316,1.0619564056396484,0.22609806060791016,0.3489432632923126,0.5087418556213379
0,507,,,,,,,0.405770480632782,0.3491477072238922,,0.3598617911338806,0.405770480632782,0.6102520227432251,,,,,,
1,549,,,,,,,,,1.043129801750183,,,,,,,,,
1,599,,,,,,,,,0.9788340926170349,,,,,,,,,
1,649,,,,,,,,,0.9556540250778198,,,,,,,,,
1,699,,,,,,,,,0.9795782566070557,,,,,,,,,
1,749,,,,,,,,,0.7932264804840088,,,,,,,,,
1,799,,,,,,,,,1.0671241283416748,,,,,,,,,
1,849,,,,,,,,,0.876004159450531,,,,,,,,,
1,899,,,,,,,,,1.0018783807754517,,,,,,,,,
1,949,,,,,,,,,0.9397136569023132,,,,,,,,,
1,999,,,,,,,,,1.129103422164917,,,,,,,,,
1,1015,,,,,,,,,,,,,0.35333773493766785,0.2814297378063202,1.0518503189086914,0.25615185499191284,0.35333773493766785,0.5141167044639587
1,1015,,,,,,,0.45139166712760925,0.3988115191459656,,0.3950672447681427,0.45139166712760925,0.6715728640556335,,,,,,
2,1049,,,,,,,,,0.8890576362609863,,,,,,,,,
2,1099,,,,,,,,,1.1057977676391602,,,,,,,,,
2,1149,,,,,,,,,0.9346848726272583,,,,,,,,,
2,1199,,,,,,,,,0.9733706116676331,,,,,,,,,
2,1249,,,,,,,,,1.165770411491394,,,,,,,,,
2,1299,,,,,,,,,0.8892315626144409,,,,,,,,,
2,1349,,,,,,,,,1.0005604028701782,,,,,,,,,
2,1399,,,,,,,,,0.7981433272361755,,,,,,,,,
2,1449,,,,,,,,,0.9817802906036377,,,,,,,,,
2,1499,,,,,,,,,0.8862671256065369,,,,,,,,,
2,1523,,,,,,,,,,,,,0.347947895526886,0.2807810604572296,1.0608466863632202,0.2640458941459656,0.347947895526886,0.5188081860542297
2,1523,,,,,,,0.4762897193431854,0.42512089014053345,,0.42057615518569946,0.4762897193431854,0.7023087739944458,,,,,,
3,1549,,,,,,,,,0.6432705521583557,,,,,,,,,
3,1599,,,,,,,,,0.8992791175842285,,,,,,,,,
3,1649,,,,,,,,,0.8724214434623718,,,,,,,,,
3,1699,,,,,,,,,0.8434777855873108,,,,,,,,,
3,1749,,,,,,,,,0.8664290308952332,,,,,,,,,
3,1799,,,,,,,,,0.9784074425697327,,,,,,,,,
3,1849,,,,,,,,,0.9284340739250183,,,,,,,,,
3,1899,,,,,,,,,0.8985084891319275,,,,,,,,,
3,1949,,,,,,,,,0.8356685042381287,,,,,,,,,
3,1999,,,,,,,,,1.0008265972137451,,,,,,,,,
3,2031,,,,,,,,,,,,,0.33121243119239807,0.24382942914962769,1.076884388923645,0.21295218169689178,0.33121243119239807,0.5093861222267151
3,2031,,,,,,,0.48804861307144165,0.43974119424819946,,0.44562315940856934,0.48804861307144165,0.7204137444496155,,,,,,
4,2032,0.3445131778717041,0.2718949019908905,1.028535008430481,0.254519522190094,0.3445131778717041,0.5300257802009583,,,,,,,,,,,,
