epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,test_roc-auc,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc-auc,val_acc,val_f1,val_loss,val_precision,val_recall,val_roc-auc
0,49,,,,,,,,,1.1003191471099854,,,,,,,,,
0,99,,,,,,,,,1.0408899784088135,,,,,,,,,
0,149,,,,,,,,,0.9457897543907166,,,,,,,,,
0,199,,,,,,,,,1.1302975416183472,,,,,,,,,
0,249,,,,,,,,,0.8653915524482727,,,,,,,,,
0,299,,,,,,,,,0.9281530976295471,,,,,,,,,
0,349,,,,,,,,,1.1331454515457153,,,,,,,,,
0,399,,,,,,,,,0.9461936950683594,,,,,,,,,
0,449,,,,,,,,,0.703549325466156,,,,,,,,,
0,499,,,,,,,,,0.8304034471511841,,,,,,,,,
0,507,,,,,,,,,,,,,0.4855484068393707,0.4081263244152069,0.9691244959831238,0.37739798426628113,0.4855484068393707,0.718431830406189
0,507,,,,,,,0.4999421238899231,0.4547148644924164,,0.49854883551597595,0.4999421238899231,0.7422147393226624,,,,,,
1,549,,,,,,,,,0.8899784684181213,,,,,,,,,
1,599,,,,,,,,,0.8606399893760681,,,,,,,,,
1,649,,,,,,,,,0.937488317489624,,,,,,,,,
1,699,,,,,,,,,0.8807863593101501,,,,,,,,,
1,749,,,,,,,,,0.7990073561668396,,,,,,,,,
1,799,,,,,,,,,1.1975880861282349,,,,,,,,,
1,849,,,,,,,,,0.9458547234535217,,,,,,,,,
1,899,,,,,,,,,0.8714413642883301,,,,,,,,,
1,949,,,,,,,,,0.9589263200759888,,,,,,,,,
1,999,,,,,,,,,0.8426609039306641,,,,,,,,,
1,1015,,,,,,,,,,,,,0.43326497077941895,0.37644243240356445,0.9597525596618652,0.4253263771533966,0.43326497077941895,0.6880360841751099
1,1015,,,,,,,0.5344166159629822,0.5011179447174072,,0.5424448847770691,0.5344166159629822,0.7688660621643066,,,,,,
2,1049,,,,,,,,,1.0419753789901733,,,,,,,,,
2,1099,,,,,,,,,0.7106220126152039,,,,,,,,,
2,1149,,,,,,,,,0.7090715169906616,,,,,,,,,
2,1199,,,,,,,,,0.7469523549079895,,,,,,,,,
2,1249,,,,,,,,,0.840138852596283,,,,,,,,,
2,1299,,,,,,,,,0.8193682432174683,,,,,,,,,
2,1349,,,,,,,,,0.9910123944282532,,,,,,,,,
2,1399,,,,,,,,,1.0676548480987549,,,,,,,,,
2,1449,,,,,,,,,0.8961799740791321,,,,,,,,,
2,1499,,,,,,,,,0.8222110867500305,,,,,,,,,
2,1523,,,,,,,,,,,,,0.49712884426116943,0.48205670714378357,0.888176441192627,0.5196136236190796,0.49712884426116943,0.7129903435707092
2,1523,,,,,,,0.5385524034500122,0.508098840713501,,0.5456533432006836,0.5385524034500122,0.7773169279098511,,,,,,
3,1549,,,,,,,,,0.623988687992096,,,,,,,,,
3,1599,,,,,,,,,0.9738062024116516,,,,,,,,,
3,1649,,,,,,,,,1.081680178642273,,,,,,,,,
3,1699,,,,,,,,,0.912495493888855,,,,,,,,,
3,1749,,,,,,,,,0.9109461903572083,,,,,,,,,
3,1799,,,,,,,,,0.7608670592308044,,,,,,,,,
3,1849,,,,,,,,,0.8120280504226685,,,,,,,,,
3,1899,,,,,,,,,0.733695924282074,,,,,,,,,
3,1949,,,,,,,,,0.930884599685669,,,,,,,,,
3,1999,,,,,,,,,0.7748104333877563,,,,,,,,,
3,2031,,,,,,,,,,,,,0.5050876140594482,0.4806724786758423,0.8895757794380188,0.5071218013763428,0.5050876140594482,0.7183622717857361
3,2031,,,,,,,0.554588258266449,0.5269026160240173,,0.5676642656326294,0.554588258266449,0.7844065427780151,,,,,,
4,2049,,,,,,,,,0.840025007724762,,,,,,,,,
4,2099,,,,,,,,,0.8786238431930542,,,,,,,,,
4,2149,,,,,,,,,0.6332018971443176,,,,,,,,,
4,2199,,,,,,,,,0.7221582531929016,,,,,,,,,
4,2249,,,,,,,,,0.7161017060279846,,,,,,,,,
4,2299,,,,,,,,,0.8490330576896667,,,,,,,,,
4,2349,,,,,,,,,0.8474815487861633,,,,,,,,,
4,2399,,,,,,,,,1.1708546876907349,,,,,,,,,
4,2449,,,,,,,,,0.8120806217193604,,,,,,,,,
4,2499,,,,,,,,,0.8900342583656311,,,,,,,,,
4,2539,,,,,,,,,,,,,0.5202434062957764,0.48947083950042725,0.8574746251106262,0.5153006315231323,0.5202434062957764,0.7219061255455017
4,2539,,,,,,,0.5526306629180908,0.5269103646278381,,0.5719439387321472,0.5526306629180908,0.7860368490219116,,,,,,
5,2540,0.5209395885467529,0.4912591278553009,0.8307459950447083,0.5147227644920349,0.5209395885467529,0.7430130839347839,,,,,,,,,,,,
